sentence,answer,name1,name2,verb,object,original_prediction,ablated_prediction,outcome,top_head_1,top_fallback_head_1
"When Connor and Zach went to the store, Connor gave the cake to", Zach,Connor,Zach,gave,the cake, Zach, Zach,backup_rescue,"(9, 9)","(10, 0)"
"When Connor and Zach went to the store, Connor gave the letter to", Zach,Connor,Zach,gave,the letter, Zach, Zach,backup_rescue,"(9, 9)","(10, 2)"
"When Connor and Zach went to the store, Connor handed the ball to", Zach,Connor,Zach,handed,the ball, Zach, Zach,backup_rescue,"(9, 9)","(10, 0)"
"When Connor and Zach went to the store, Connor handed the keys to", Zach,Connor,Zach,handed,the keys, Zach, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Connor and Zach went to the store, Connor handed the drink to", Zach,Connor,Zach,handed,the drink, Zach, Zach,backup_rescue,"(9, 9)","(10, 0)"
"When Connor and Zach went to the store, Connor handed the cake to", Zach,Connor,Zach,handed,the cake, Zach, Zach,backup_rescue,"(9, 9)","(10, 0)"
"When Connor and Zach went to the store, Connor handed the letter to", Zach,Connor,Zach,handed,the letter, Zach, Zach,backup_rescue,"(9, 9)","(10, 2)"
"When Connor and Zach went to the store, Connor passed the ball to", Zach,Connor,Zach,passed,the ball, Zach, Zach,backup_rescue,"(9, 9)","(10, 0)"
"When Connor and Zach went to the store, Connor passed the keys to", Zach,Connor,Zach,passed,the keys, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Connor and Zach went to the store, Connor passed the drink to", Zach,Connor,Zach,passed,the drink, Zach, Zach,backup_rescue,"(9, 9)","(10, 0)"
"When Connor and Zach went to the store, Connor passed the cake to", Zach,Connor,Zach,passed,the cake, Zach, Zach,backup_rescue,"(9, 9)","(10, 0)"
"When Connor and Zach went to the store, Connor passed the letter to", Zach,Connor,Zach,passed,the letter, Zach, Zach,backup_rescue,"(9, 9)","(10, 2)"
"When Connor and Zach went to the store, Connor brought the ball to", Zach,Connor,Zach,brought,the ball, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Connor and Zach went to the store, Connor brought the keys to", Zach,Connor,Zach,brought,the keys, the, the,determiner_or_possessive_fallback,"(10, 0)","(11, 8)"
"When Connor and Zach went to the store, Connor brought the drink to", Zach,Connor,Zach,brought,the drink, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Connor and Zach went to the store, Connor brought the cake to", Zach,Connor,Zach,brought,the cake, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Connor and Zach went to the store, Connor brought the letter to", Zach,Connor,Zach,brought,the letter, Zach, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Connor and Zach went to the store, Connor tossed the ball to", Zach,Connor,Zach,tossed,the ball, Zach, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Connor and Zach went to the store, Connor tossed the keys to", Zach,Connor,Zach,tossed,the keys, the, the,determiner_or_possessive_fallback,"(10, 10)","(11, 8)"
"When Connor and Zach went to the store, Connor tossed the drink to", Zach,Connor,Zach,tossed,the drink, Zach, Zach,backup_rescue,"(9, 9)","(11, 6)"
"When Connor and Zach went to the store, Connor tossed the cake to", Zach,Connor,Zach,tossed,the cake, Zach, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Connor and Zach went to the store, Connor tossed the letter to", Zach,Connor,Zach,tossed,the letter, Zach, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Jason and Sharon went to the store, Jason gave the ball to", Sharon,Jason,Sharon,gave,the ball, Sharon, Sharon,backup_rescue,"(9, 9)","(11, 2)"
"When Jason and Sharon went to the store, Jason gave the keys to", Sharon,Jason,Sharon,gave,the keys, Sharon, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Jason and Sharon went to the store, Jason gave the drink to", Sharon,Jason,Sharon,gave,the drink, Sharon, Sharon,backup_rescue,"(9, 9)","(11, 2)"
"When Jason and Sharon went to the store, Jason gave the cake to", Sharon,Jason,Sharon,gave,the cake, Sharon, Sharon,backup_rescue,"(9, 9)","(11, 2)"
"When Jason and Sharon went to the store, Jason gave the letter to", Sharon,Jason,Sharon,gave,the letter, Sharon, Sharon,backup_rescue,"(9, 9)","(11, 2)"
"When Jason and Sharon went to the store, Jason handed the ball to", Sharon,Jason,Sharon,handed,the ball, Sharon, Sharon,backup_rescue,"(9, 9)","(11, 2)"
"When Jason and Sharon went to the store, Jason handed the keys to", Sharon,Jason,Sharon,handed,the keys, Sharon, Sharon,backup_rescue,"(9, 9)","(11, 2)"
"When Jason and Sharon went to the store, Jason handed the drink to", Sharon,Jason,Sharon,handed,the drink, Sharon, Sharon,backup_rescue,"(9, 9)","(11, 2)"
"When Jason and Sharon went to the store, Jason handed the cake to", Sharon,Jason,Sharon,handed,the cake, Sharon, Sharon,backup_rescue,"(9, 9)","(11, 2)"
"When Jason and Sharon went to the store, Jason handed the letter to", Sharon,Jason,Sharon,handed,the letter, Sharon, Sharon,backup_rescue,"(9, 9)","(11, 2)"
"When Jason and Sharon went to the store, Jason passed the ball to", Sharon,Jason,Sharon,passed,the ball, Sharon, Sharon,backup_rescue,"(9, 9)","(11, 2)"
"When Jason and Sharon went to the store, Jason passed the keys to", Sharon,Jason,Sharon,passed,the keys, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Jason and Sharon went to the store, Jason passed the drink to", Sharon,Jason,Sharon,passed,the drink, Sharon, Sharon,backup_rescue,"(9, 9)","(11, 2)"
"When Jason and Sharon went to the store, Jason passed the cake to", Sharon,Jason,Sharon,passed,the cake, Sharon, Sharon,backup_rescue,"(9, 9)","(11, 2)"
"When Jason and Sharon went to the store, Jason passed the letter to", Sharon,Jason,Sharon,passed,the letter, Sharon, Sharon,backup_rescue,"(9, 9)","(11, 2)"
"When Jason and Sharon went to the store, Jason brought the ball to", Sharon,Jason,Sharon,brought,the ball, his, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Jason and Sharon went to the store, Jason brought the keys to", Sharon,Jason,Sharon,brought,the keys, the, the,determiner_or_possessive_fallback,"(10, 0)","(11, 8)"
"When Jason and Sharon went to the store, Jason brought the drink to", Sharon,Jason,Sharon,brought,the drink, Sharon, them,pronoun_fallback,"(9, 9)","(11, 8)"
"When Jason and Sharon went to the store, Jason brought the cake to", Sharon,Jason,Sharon,brought,the cake, Sharon, them,pronoun_fallback,"(9, 9)","(11, 8)"
"When Jason and Sharon went to the store, Jason brought the letter to", Sharon,Jason,Sharon,brought,the letter, Sharon, Sharon,backup_rescue,"(9, 9)","(11, 2)"
"When Jason and Sharon went to the store, Jason tossed the ball to", Sharon,Jason,Sharon,tossed,the ball, Sharon, Sharon,backup_rescue,"(9, 9)","(11, 2)"
"When Jason and Sharon went to the store, Jason tossed the keys to", Sharon,Jason,Sharon,tossed,the keys, the, the,determiner_or_possessive_fallback,"(10, 0)","(11, 8)"
"When Jason and Sharon went to the store, Jason tossed the drink to", Sharon,Jason,Sharon,tossed,the drink, Sharon, Sharon,backup_rescue,"(9, 9)","(11, 2)"
"When Jason and Sharon went to the store, Jason tossed the cake to", Sharon,Jason,Sharon,tossed,the cake, Sharon, Sharon,backup_rescue,"(9, 9)","(11, 2)"
"When Jason and Sharon went to the store, Jason tossed the letter to", Sharon,Jason,Sharon,tossed,the letter, Sharon, Sharon,backup_rescue,"(9, 9)","(11, 2)"
"When Fred and Ned went to the store, Fred gave the ball to", Ned,Fred,Ned,gave,the ball, Ned, Ned,backup_rescue,"(9, 9)","(11, 2)"
"When Fred and Ned went to the store, Fred gave the keys to", Ned,Fred,Ned,gave,the keys, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Fred and Ned went to the store, Fred gave the drink to", Ned,Fred,Ned,gave,the drink, Ned, Ned,backup_rescue,"(9, 9)","(11, 2)"
"When Fred and Ned went to the store, Fred gave the cake to", Ned,Fred,Ned,gave,the cake, Ned, Ned,backup_rescue,"(9, 9)","(11, 2)"
"When Fred and Ned went to the store, Fred gave the letter to", Ned,Fred,Ned,gave,the letter, Ned, Ned,backup_rescue,"(9, 9)","(11, 2)"
"When Fred and Ned went to the store, Fred handed the ball to", Ned,Fred,Ned,handed,the ball, Ned, Ned,backup_rescue,"(9, 9)","(11, 2)"
"When Fred and Ned went to the store, Fred handed the keys to", Ned,Fred,Ned,handed,the keys, Ned, Ned,backup_rescue,"(9, 9)","(11, 2)"
"When Fred and Ned went to the store, Fred handed the drink to", Ned,Fred,Ned,handed,the drink, Ned, Ned,backup_rescue,"(9, 9)","(11, 2)"
"When Fred and Ned went to the store, Fred handed the cake to", Ned,Fred,Ned,handed,the cake, Ned, Ned,backup_rescue,"(9, 9)","(11, 2)"
"When Fred and Ned went to the store, Fred handed the letter to", Ned,Fred,Ned,handed,the letter, Ned, Ned,backup_rescue,"(9, 9)","(11, 2)"
"When Fred and Ned went to the store, Fred passed the ball to", Ned,Fred,Ned,passed,the ball, Ned, Ned,backup_rescue,"(9, 9)","(11, 2)"
"When Fred and Ned went to the store, Fred passed the keys to", Ned,Fred,Ned,passed,the keys, the, the,determiner_or_possessive_fallback,"(10, 0)","(11, 8)"
"When Fred and Ned went to the store, Fred passed the drink to", Ned,Fred,Ned,passed,the drink, Ned, Ned,backup_rescue,"(9, 9)","(11, 2)"
"When Fred and Ned went to the store, Fred passed the cake to", Ned,Fred,Ned,passed,the cake, Ned, Ned,backup_rescue,"(9, 9)","(11, 2)"
"When Fred and Ned went to the store, Fred passed the letter to", Ned,Fred,Ned,passed,the letter, Ned, Ned,backup_rescue,"(9, 9)","(11, 2)"
"When Fred and Ned went to the store, Fred brought the ball to", Ned,Fred,Ned,brought,the ball, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Fred and Ned went to the store, Fred brought the keys to", Ned,Fred,Ned,brought,the keys, the, the,determiner_or_possessive_fallback,"(10, 0)","(11, 8)"
"When Fred and Ned went to the store, Fred brought the drink to", Ned,Fred,Ned,brought,the drink, them, them,pronoun_fallback,"(9, 9)","(11, 8)"
"When Fred and Ned went to the store, Fred brought the cake to", Ned,Fred,Ned,brought,the cake, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Fred and Ned went to the store, Fred brought the letter to", Ned,Fred,Ned,brought,the letter, the, them,pronoun_fallback,"(9, 9)","(11, 8)"
"When Fred and Ned went to the store, Fred tossed the ball to", Ned,Fred,Ned,tossed,the ball, Ned, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Fred and Ned went to the store, Fred tossed the keys to", Ned,Fred,Ned,tossed,the keys, the, the,determiner_or_possessive_fallback,"(10, 0)","(11, 8)"
"When Fred and Ned went to the store, Fred tossed the drink to", Ned,Fred,Ned,tossed,the drink, Ned, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Fred and Ned went to the store, Fred tossed the cake to", Ned,Fred,Ned,tossed,the cake, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Fred and Ned went to the store, Fred tossed the letter to", Ned,Fred,Ned,tossed,the letter, Ned, Ned,backup_rescue,"(9, 9)","(11, 2)"
