sentence,answer,name1,name2,verb,object,original_prediction,ablated_prediction,outcome,top_head_1,top_fallback_head_1,grammatical_number
"When John and Mary went to the store, John tossed the letters to", Mary,John,Mary,tossed,the letters, Mary, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When John and Mary went to the store, John tossed the drinks to", Mary,John,Mary,tossed,the drinks, Mary, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When John and Mary went to the store, John tossed the keys to", Mary,John,Mary,tossed,the keys, the, the,determiner_or_possessive_fallback,"(10, 0)","(11, 8)",plural
"When Connor and Zach went to the store, Connor gave the balls to", Zach,Connor,Zach,gave,the balls, Zach, Zach,backup_rescue,"(9, 9)","(10, 0)",plural
"When Connor and Zach went to the store, Connor gave the cakes to", Zach,Connor,Zach,gave,the cakes, Zach, Zach,backup_rescue,"(9, 9)","(10, 0)",plural
"When Connor and Zach went to the store, Connor gave the letters to", Zach,Connor,Zach,gave,the letters, Zach, Zach,backup_rescue,"(9, 9)","(11, 6)",plural
"When Connor and Zach went to the store, Connor gave the drinks to", Zach,Connor,Zach,gave,the drinks, Zach, Zach,backup_rescue,"(9, 9)","(10, 0)",plural
"When Connor and Zach went to the store, Connor gave the keys to", Zach,Connor,Zach,gave,the keys, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Connor and Zach went to the store, Connor handed the balls to", Zach,Connor,Zach,handed,the balls, Zach, Zach,backup_rescue,"(9, 9)","(10, 0)",plural
"When Connor and Zach went to the store, Connor handed the cakes to", Zach,Connor,Zach,handed,the cakes, Zach, Zach,backup_rescue,"(9, 9)","(10, 0)",plural
"When Connor and Zach went to the store, Connor handed the letters to", Zach,Connor,Zach,handed,the letters, Zach, Zach,backup_rescue,"(9, 9)","(10, 2)",plural
"When Connor and Zach went to the store, Connor handed the drinks to", Zach,Connor,Zach,handed,the drinks, Zach, Zach,backup_rescue,"(9, 9)","(10, 0)",plural
"When Connor and Zach went to the store, Connor handed the keys to", Zach,Connor,Zach,handed,the keys, Zach, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Connor and Zach went to the store, Connor passed the balls to", Zach,Connor,Zach,passed,the balls, Zach, Zach,backup_rescue,"(9, 9)","(10, 0)",plural
"When Connor and Zach went to the store, Connor passed the cakes to", Zach,Connor,Zach,passed,the cakes, Zach, Zach,backup_rescue,"(9, 9)","(10, 0)",plural
"When Connor and Zach went to the store, Connor passed the letters to", Zach,Connor,Zach,passed,the letters, Zach, Zach,backup_rescue,"(9, 9)","(11, 6)",plural
"When Connor and Zach went to the store, Connor passed the drinks to", Zach,Connor,Zach,passed,the drinks, Zach, Zach,backup_rescue,"(9, 9)","(10, 0)",plural
"When Connor and Zach went to the store, Connor passed the keys to", Zach,Connor,Zach,passed,the keys, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Connor and Zach went to the store, Connor brought the balls to", Zach,Connor,Zach,brought,the balls, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Connor and Zach went to the store, Connor brought the cakes to", Zach,Connor,Zach,brought,the cakes, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Connor and Zach went to the store, Connor brought the letters to", Zach,Connor,Zach,brought,the letters, Zach, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Connor and Zach went to the store, Connor brought the drinks to", Zach,Connor,Zach,brought,the drinks, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Connor and Zach went to the store, Connor brought the keys to", Zach,Connor,Zach,brought,the keys, the, the,determiner_or_possessive_fallback,"(10, 0)","(11, 8)",plural
"When Connor and Zach went to the store, Connor tossed the balls to", Zach,Connor,Zach,tossed,the balls, Zach, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Connor and Zach went to the store, Connor tossed the cakes to", Zach,Connor,Zach,tossed,the cakes, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Connor and Zach went to the store, Connor tossed the letters to", Zach,Connor,Zach,tossed,the letters, Zach, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Connor and Zach went to the store, Connor tossed the drinks to", Zach,Connor,Zach,tossed,the drinks, Zach, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Connor and Zach went to the store, Connor tossed the keys to", Zach,Connor,Zach,tossed,the keys, the, the,determiner_or_possessive_fallback,"(10, 10)","(11, 8)",plural
"When Jason and Sharon went to the store, Jason gave the balls to", Sharon,Jason,Sharon,gave,the balls, Sharon, Sharon,backup_rescue,"(9, 9)","(11, 2)",plural
"When Jason and Sharon went to the store, Jason gave the cakes to", Sharon,Jason,Sharon,gave,the cakes, Sharon, Sharon,backup_rescue,"(9, 9)","(11, 2)",plural
"When Jason and Sharon went to the store, Jason gave the letters to", Sharon,Jason,Sharon,gave,the letters, Sharon, Sharon,backup_rescue,"(9, 9)","(11, 2)",plural
"When Jason and Sharon went to the store, Jason gave the drinks to", Sharon,Jason,Sharon,gave,the drinks, Sharon, Sharon,backup_rescue,"(9, 9)","(11, 2)",plural
"When Jason and Sharon went to the store, Jason gave the keys to", Sharon,Jason,Sharon,gave,the keys, Sharon, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Jason and Sharon went to the store, Jason handed the balls to", Sharon,Jason,Sharon,handed,the balls, Sharon, Sharon,backup_rescue,"(9, 9)","(11, 2)",plural
"When Jason and Sharon went to the store, Jason handed the cakes to", Sharon,Jason,Sharon,handed,the cakes, Sharon, Sharon,backup_rescue,"(9, 9)","(11, 2)",plural
"When Jason and Sharon went to the store, Jason handed the letters to", Sharon,Jason,Sharon,handed,the letters, Sharon, Sharon,backup_rescue,"(9, 9)","(11, 2)",plural
"When Jason and Sharon went to the store, Jason handed the drinks to", Sharon,Jason,Sharon,handed,the drinks, Sharon, Sharon,backup_rescue,"(9, 9)","(11, 2)",plural
"When Jason and Sharon went to the store, Jason handed the keys to", Sharon,Jason,Sharon,handed,the keys, Sharon, Sharon,backup_rescue,"(9, 9)","(11, 2)",plural
"When Jason and Sharon went to the store, Jason passed the balls to", Sharon,Jason,Sharon,passed,the balls, Sharon, Sharon,backup_rescue,"(9, 9)","(11, 2)",plural
"When Jason and Sharon went to the store, Jason passed the cakes to", Sharon,Jason,Sharon,passed,the cakes, Sharon, Sharon,backup_rescue,"(9, 9)","(11, 2)",plural
"When Jason and Sharon went to the store, Jason passed the letters to", Sharon,Jason,Sharon,passed,the letters, Sharon, Sharon,backup_rescue,"(9, 9)","(11, 2)",plural
"When Jason and Sharon went to the store, Jason passed the drinks to", Sharon,Jason,Sharon,passed,the drinks, Sharon, Sharon,backup_rescue,"(9, 9)","(11, 2)",plural
"When Jason and Sharon went to the store, Jason passed the keys to", Sharon,Jason,Sharon,passed,the keys, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Jason and Sharon went to the store, Jason brought the balls to", Sharon,Jason,Sharon,brought,the balls, Sharon, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Jason and Sharon went to the store, Jason brought the cakes to", Sharon,Jason,Sharon,brought,the cakes, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Jason and Sharon went to the store, Jason brought the letters to", Sharon,Jason,Sharon,brought,the letters, Sharon, Sharon,backup_rescue,"(9, 9)","(11, 2)",plural
"When Jason and Sharon went to the store, Jason brought the drinks to", Sharon,Jason,Sharon,brought,the drinks, them, them,pronoun_fallback,"(9, 9)","(11, 8)",plural
"When Jason and Sharon went to the store, Jason brought the keys to", Sharon,Jason,Sharon,brought,the keys, the, the,determiner_or_possessive_fallback,"(10, 0)","(11, 8)",plural
"When Jason and Sharon went to the store, Jason tossed the balls to", Sharon,Jason,Sharon,tossed,the balls, Sharon, Sharon,backup_rescue,"(9, 9)","(11, 2)",plural
"When Jason and Sharon went to the store, Jason tossed the cakes to", Sharon,Jason,Sharon,tossed,the cakes, Sharon, Sharon,backup_rescue,"(9, 9)","(11, 2)",plural
"When Jason and Sharon went to the store, Jason tossed the letters to", Sharon,Jason,Sharon,tossed,the letters, Sharon, Sharon,backup_rescue,"(9, 9)","(11, 2)",plural
"When Jason and Sharon went to the store, Jason tossed the drinks to", Sharon,Jason,Sharon,tossed,the drinks, Sharon, Sharon,backup_rescue,"(9, 9)","(11, 2)",plural
"When Jason and Sharon went to the store, Jason tossed the keys to", Sharon,Jason,Sharon,tossed,the keys, the, the,determiner_or_possessive_fallback,"(10, 0)","(11, 8)",plural
"When Fred and Ned went to the store, Fred gave the balls to", Ned,Fred,Ned,gave,the balls, Ned, Ned,backup_rescue,"(9, 9)","(11, 2)",plural
"When Fred and Ned went to the store, Fred gave the cakes to", Ned,Fred,Ned,gave,the cakes, Ned, Ned,backup_rescue,"(9, 9)","(11, 2)",plural
"When Fred and Ned went to the store, Fred gave the letters to", Ned,Fred,Ned,gave,the letters, Ned, Ned,backup_rescue,"(9, 9)","(11, 2)",plural
"When Fred and Ned went to the store, Fred gave the drinks to", Ned,Fred,Ned,gave,the drinks, Ned, Ned,backup_rescue,"(9, 9)","(11, 2)",plural
"When Fred and Ned went to the store, Fred gave the keys to", Ned,Fred,Ned,gave,the keys, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Fred and Ned went to the store, Fred handed the balls to", Ned,Fred,Ned,handed,the balls, Ned, Ned,backup_rescue,"(9, 9)","(11, 2)",plural
"When Fred and Ned went to the store, Fred handed the cakes to", Ned,Fred,Ned,handed,the cakes, Ned, Ned,backup_rescue,"(9, 9)","(11, 2)",plural
"When Fred and Ned went to the store, Fred handed the letters to", Ned,Fred,Ned,handed,the letters, Ned, Ned,backup_rescue,"(9, 9)","(11, 2)",plural
"When Fred and Ned went to the store, Fred handed the drinks to", Ned,Fred,Ned,handed,the drinks, Ned, Ned,backup_rescue,"(9, 9)","(11, 2)",plural
"When Fred and Ned went to the store, Fred handed the keys to", Ned,Fred,Ned,handed,the keys, Ned, Ned,backup_rescue,"(9, 9)","(11, 2)",plural
"When Fred and Ned went to the store, Fred passed the balls to", Ned,Fred,Ned,passed,the balls, Ned, Ned,backup_rescue,"(9, 9)","(11, 2)",plural
"When Fred and Ned went to the store, Fred passed the cakes to", Ned,Fred,Ned,passed,the cakes, Ned, Ned,backup_rescue,"(9, 9)","(11, 2)",plural
"When Fred and Ned went to the store, Fred passed the letters to", Ned,Fred,Ned,passed,the letters, Ned, Ned,backup_rescue,"(9, 9)","(11, 2)",plural
"When Fred and Ned went to the store, Fred passed the drinks to", Ned,Fred,Ned,passed,the drinks, Ned, Ned,backup_rescue,"(9, 9)","(11, 2)",plural
"When Fred and Ned went to the store, Fred passed the keys to", Ned,Fred,Ned,passed,the keys, the, the,determiner_or_possessive_fallback,"(10, 0)","(11, 8)",plural
"When Fred and Ned went to the store, Fred brought the balls to", Ned,Fred,Ned,brought,the balls, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Fred and Ned went to the store, Fred brought the cakes to", Ned,Fred,Ned,brought,the cakes, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Fred and Ned went to the store, Fred brought the letters to", Ned,Fred,Ned,brought,the letters, him, them,pronoun_fallback,"(9, 9)","(11, 8)",plural
"When Fred and Ned went to the store, Fred brought the drinks to", Ned,Fred,Ned,brought,the drinks, them, them,pronoun_fallback,"(9, 9)","(11, 8)",plural
"When Fred and Ned went to the store, Fred brought the keys to", Ned,Fred,Ned,brought,the keys, the, the,determiner_or_possessive_fallback,"(10, 0)","(11, 8)",plural
"When Fred and Ned went to the store, Fred tossed the balls to", Ned,Fred,Ned,tossed,the balls, Ned, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Fred and Ned went to the store, Fred tossed the cakes to", Ned,Fred,Ned,tossed,the cakes, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Fred and Ned went to the store, Fred tossed the letters to", Ned,Fred,Ned,tossed,the letters, Ned, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Fred and Ned went to the store, Fred tossed the drinks to", Ned,Fred,Ned,tossed,the drinks, Ned, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Fred and Ned went to the store, Fred tossed the keys to", Ned,Fred,Ned,tossed,the keys, the, the,determiner_or_possessive_fallback,"(10, 0)","(11, 8)",plural
